LINE,PROD_DATE,DOWNTIME_HRS
A01,2020-02-15,3
A01,2020-02-16,1
A01,2020-02-17,3
A01,2020-02-18,0
A01,2020-02-19,1
A01,2020-02-20,1
A01,2020-02-21,1
A01,2020-02-22,1
A01,2020-02-23,0
A01,2020-02-24,13
A01,2020-02-25,2
A01,2020-02-26,14
A01,2020-02-27,2
A01,2020-02-28,0
A01,2020-02-29,1
A01,2020-03-01,2
A01,2020-03-02,1
A01,2020-03-03,1
A01,2020-03-04,0
A01,2020-03-05,2
A01,2020-03-06,2
A01,2020-03-07,1
A01,2020-03-08,2
A01,2020-03-09,0
A01,2020-03-10,0
A01,2020-03-11,1
A01,2020-03-12,2
A01,2020-03-13,0
A01,2020-03-14,2
A01,2020-03-15,7
A01,2020-03-16,0
A01,2020-03-17,2
A01,2020-03-18,0
A01,2020-03-19,1
A01,2020-03-20,2
A01,2020-03-21,1
A01,2020-03-22,2
A01,2020-03-23,1
A01,2020-03-24,0
A01,2020-03-25,2
A01,2020-03-26,1
A01,2020-03-27,1
A01,2020-03-28,1
A01,2020-03-29,1
A01,2020-03-30,0
A01,2020-03-31,7
A01,2020-04-01,0
A01,2020-04-02,2
A01,2020-04-03,0
A01,2020-04-04,0
A01,2020-04-05,1
A01,2020-04-06,1
A01,2020-04-07,0
A01,2020-04-08,1
A01,2020-04-09,2
A01,2020-04-10,2
A01,2020-04-11,1
A01,2020-04-12,1
A01,2020-04-13,2
A01,2020-04-14,1
A01,2020-04-15,1
A01,2020-04-16,2
A01,2020-04-17,0
A01,2020-04-18,2
A01,2020-04-19,5
A01,2020-04-20,4
A01,2020-04-21,1
A01,2020-04-22,2
A01,2020-04-23,2
A01,2020-04-24,31
A01,2020-04-25,4
A01,2020-04-26,1
A01,2020-04-27,17
A01,2020-04-28,24
A01,2020-04-29,1
A01,2020-04-30,2
A01,2020-05-01,2
A01,2020-05-02,1
A01,2020-05-03,2
A01,2020-05-04,0
A01,2020-05-05,1
A01,2020-05-06,0
A01,2020-05-07,1
A01,2020-05-08,1
A01,2020-05-09,2
A01,2020-05-10,0
A01,2020-05-11,0
A01,2020-05-12,4
A01,2020-05-13,3
A01,2020-05-14,4
A01,2020-05-15,2
A01,2020-05-16,2
A01,2020-05-17,0
A01,2020-05-18,24
A01,2020-05-19,24
A01,2020-05-20,24
A01,2020-05-21,24
A01,2020-05-22,24
A01,2020-05-23,24
A01,2020-05-24,24
A01,2020-05-25,24
A01,2020-05-26,24
A01,2020-05-27,24
A01,2020-05-28,24
A01,2020-05-29,24
A01,2020-05-30,24
A01,2020-05-31,24
A01,2020-06-01,1
A01,2020-06-02,4
A01,2020-06-03,2
A01,2020-06-04,1
A01,2020-06-05,0
A01,2020-06-06,0
A01,2020-06-07,1
A01,2020-06-08,0
A01,2020-06-09,0
A01,2020-06-10,4
A01,2020-06-11,1
A01,2020-06-12,1
A01,2020-06-13,1
A01,2020-06-14,2
A01,2020-06-15,0
A01,2020-06-16,2
A01,2020-06-17,2
A01,2020-06-18,6
A01,2020-06-19,4
A01,2020-06-20,0
A01,2020-06-21,1
A01,2020-06-22,0
A01,2020-06-23,2
A01,2020-06-24,3
A01,2020-06-25,1
A01,2020-06-26,2
A01,2020-06-27,0
A01,2020-06-28,1
A01,2020-06-29,1
A01,2020-06-30,5
A01,2020-07-01,24
A01,2020-07-02,24
A01,2020-07-03,24
A01,2020-07-04,5
A01,2020-07-05,3
A01,2020-07-06,1
A01,2020-07-07,2
A01,2020-07-08,1
A01,2020-07-09,3
A01,2020-07-10,2
A01,2020-07-11,2
A01,2020-07-12,2
A01,2020-07-13,2
A01,2020-07-14,1
A01,2020-07-15,2
A01,2020-07-16,2
A01,2020-07-17,0
A01,2020-07-18,2
A01,2020-07-19,1
A01,2020-07-20,1
A01,2020-07-21,2
A01,2020-07-22,2
A01,2020-07-23,2
A01,2020-07-24,1
A01,2020-07-25,0
A01,2020-07-26,8
A01,2020-07-27,0
A01,2020-07-28,0
A01,2020-07-29,1
A01,2020-07-30,1
A01,2020-07-31,2
A01,2020-08-01,2
A01,2020-08-02,2
A01,2020-08-03,2
A01,2020-08-04,0
A01,2020-08-05,0
A01,2020-08-06,0
A01,2020-08-07,1
A01,2020-08-08,0
A01,2020-08-09,2
A01,2020-08-10,1
A01,2020-08-11,2
A01,2020-08-12,9
A01,2020-08-13,1
A01,2020-08-14,0
A01,2020-08-15,1
A01,2020-08-16,1
A01,2020-08-17,0
A01,2020-08-18,1
A01,2020-08-19,2
A01,2020-08-20,2
A01,2020-08-21,2
A01,2020-08-22,1
A01,2020-08-23,1
A01,2020-08-24,0
A01,2020-08-25,1
A01,2020-08-26,0
A01,2020-08-27,2
A01,2020-08-28,0
A01,2020-08-29,1
A01,2020-08-30,1
A01,2020-08-31,0
A01,2020-09-01,23
A01,2020-09-02,1
A01,2020-09-03,2
A01,2020-09-04,1
A01,2020-09-05,1
A01,2020-09-06,1
A01,2020-09-07,2
A01,2020-09-08,1
A01,2020-09-09,1
A01,2020-09-10,2
A01,2020-09-11,0
A01,2020-09-12,1
A01,2020-09-13,1
A01,2020-09-14,1
A01,2020-09-15,0
A01,2020-09-16,1
A01,2020-09-17,0
A01,2020-09-18,1
A01,2020-09-19,0
A01,2020-09-20,2
A01,2020-09-21,1
A01,2020-09-22,0
A01,2020-09-23,2
A01,2020-09-24,2
A01,2020-09-25,2
A01,2020-09-26,1
A01,2020-09-27,0
A01,2020-09-28,1
A01,2020-09-29,5
A01,2020-09-30,1
A01,2020-10-01,2
A01,2020-10-02,1
A01,2020-10-03,0
A01,2020-10-04,1
A01,2020-10-05,2
A01,2020-10-06,24
A01,2020-10-07,8
A01,2020-10-08,1
A01,2020-10-09,2
A01,2020-10-10,1
A01,2020-10-11,2
A01,2020-10-12,0
A01,2020-10-13,2
A01,2020-10-14,1
A01,2020-10-15,0
A01,2020-10-16,2
A01,2020-10-17,0
A01,2020-10-18,1
A01,2020-10-19,0
A01,2020-10-20,0
A01,2020-10-21,1
A01,2020-10-22,2
A01,2020-10-23,0
A01,2020-10-24,0
A01,2020-10-25,0
A01,2020-10-26,1
A01,2020-10-27,11
A01,2020-10-28,0
A01,2020-10-29,1
A01,2020-10-30,2
A01,2020-10-31,0
A01,2020-11-01,0
A01,2020-11-02,0
A01,2020-11-03,0
A01,2020-11-04,2
A01,2020-11-05,0
A01,2020-11-06,0
A01,2020-11-07,0
A01,2020-11-08,0
A01,2020-11-09,0
A01,2020-11-10,0
A01,2020-11-11,0
A01,2020-11-12,0
A01,2020-11-13,0
A01,2020-11-14,0
A01,2020-11-15,0
A01,2020-11-16,0
A01,2020-11-17,0
A01,2020-11-18,0
A01,2020-11-19,2
A01,2020-11-20,0
A01,2020-11-21,0
A01,2020-11-22,0
A01,2020-11-23,0
A01,2020-11-24,0
A01,2020-11-25,0
A01,2020-11-26,0
A01,2020-11-27,0
A01,2020-11-28,0
A01,2020-11-29,0
A01,2020-11-30,0
A02,2019-09-01,2
A02,2019-09-02,2
A02,2019-09-03,0
A02,2019-09-04,10
A02,2019-09-05,0
A02,2019-09-06,3
A02,2019-09-07,0
A02,2019-09-08,2
A02,2019-09-09,0
A02,2019-09-10,0
A02,2019-09-11,0
A02,2019-09-12,0
A02,2019-09-13,2
A02,2019-09-14,0
A02,2019-09-15,2
A02,2019-09-16,0
A02,2019-09-17,2
A02,2019-09-18,0
A02,2019-09-19,6
A02,2019-09-20,2
A02,2019-09-21,6
A02,2019-09-22,0
A02,2019-09-23,0
A02,2019-09-24,0
A02,2019-09-25,4
A02,2019-09-26,2
A02,2019-09-27,6
A02,2019-09-28,0
A02,2019-09-29,2
A02,2019-09-30,0
A02,2019-10-01,2
A02,2019-10-02,0
A02,2019-10-03,2
A02,2019-10-04,0
A02,2019-10-05,2
A02,2019-10-06,0
A02,2019-10-07,0
A02,2019-10-08,0
A02,2019-10-09,0
A02,2019-10-10,6
A02,2019-10-11,2
A02,2019-10-12,3
A02,2019-10-13,12
A02,2019-10-14,2
A02,2019-10-15,2
A02,2019-10-16,2
A02,2019-10-17,0
A02,2019-10-18,0
A02,2019-10-19,3
A02,2019-10-20,0
A02,2019-10-21,0
A02,2019-10-22,2
A02,2019-10-23,0
A02,2019-10-24,0
A02,2019-10-25,0
A02,2019-10-26,0
A02,2019-10-27,12
A02,2019-10-28,13
A02,2019-10-29,0
A02,2019-10-30,0
A02,2019-10-31,0
A02,2019-11-01,0
A02,2019-11-02,2
A02,2019-11-03,0
A02,2019-11-04,0
A02,2019-11-05,0
A02,2019-11-06,2
A02,2019-11-07,0
A02,2019-11-08,0
A02,2019-11-09,0
A02,2019-11-10,18
A02,2019-11-11,8
A02,2019-11-12,3
A02,2019-11-13,2
A02,2019-11-14,2
A02,2019-11-15,0
A02,2019-11-16,0
A02,2019-11-17,0
A02,2019-11-18,0
A02,2019-11-19,0
A02,2019-11-20,0
A02,2019-11-21,0
A02,2019-11-22,0
A02,2019-11-23,0
A02,2019-11-24,2
A02,2019-11-25,0
A02,2019-11-26,22
A02,2019-11-27,0
A02,2019-11-28,0
A02,2019-11-29,0
A02,2019-11-30,0
A02,2019-12-01,2
A02,2019-12-02,2
A02,2019-12-03,2
A02,2019-12-04,0
A02,2019-12-05,0
A02,2019-12-06,2
A02,2019-12-07,5
A02,2019-12-08,0
A02,2019-12-09,0
A02,2019-12-10,0
A02,2019-12-11,0
A02,2019-12-12,13
A02,2019-12-13,0
A02,2019-12-14,0
A02,2019-12-15,2
A02,2019-12-16,3
A02,2019-12-17,2
A02,2019-12-18,2
A02,2019-12-19,0
A02,2019-12-20,3
A02,2019-12-21,4
A02,2019-12-22,3
A02,2019-12-23,0
A02,2019-12-24,0
A02,2019-12-25,15
A02,2019-12-26,0
A02,2019-12-27,2
A02,2019-12-28,0
A02,2019-12-29,13
A02,2019-12-30,2
A02,2019-12-31,0
A02,2020-01-01,2
A02,2020-01-02,0
A02,2020-01-03,2
A02,2020-01-04,0
A02,2020-01-05,2
A02,2020-01-06,0
A02,2020-01-07,4
A02,2020-01-08,0
A02,2020-01-09,0
A02,2020-01-10,2
A02,2020-01-11,0
A02,2020-01-12,2
A02,2020-01-13,2
A02,2020-01-14,1
A02,2020-01-15,1
A02,2020-01-16,2
A02,2020-01-17,0
A02,2020-01-18,0
A02,2020-01-19,1
A02,2020-01-20,2
A02,2020-01-21,2
A02,2020-01-22,1
A02,2020-01-23,2
A02,2020-01-24,1
A02,2020-01-25,23
A02,2020-01-26,6
A02,2020-01-27,1
A02,2020-01-28,1
A02,2020-01-29,1
A02,2020-01-30,2
A02,2020-01-31,1
A02,2020-02-01,2
A02,2020-02-02,2
A02,2020-02-03,2
A02,2020-02-04,1
A02,2020-02-05,7
A02,2020-02-06,5
A02,2020-02-07,0
A02,2020-02-08,2
A02,2020-02-09,1
A02,2020-02-10,2
A02,2020-02-11,3
A02,2020-02-12,12
A02,2020-02-13,2
A02,2020-02-14,5
A02,2020-02-15,2
A02,2020-02-16,0
A02,2020-02-17,4
A02,2020-02-18,1
A02,2020-02-19,2
A02,2020-02-20,0
A02,2020-02-21,0
A02,2020-02-22,12
A02,2020-02-23,2
A02,2020-02-24,0
A02,2020-02-25,2
A02,2020-02-26,0
A02,2020-02-27,5
A02,2020-02-28,8
A02,2020-02-29,2
A02,2020-03-01,2
A02,2020-03-02,1
A02,2020-03-03,2
A02,2020-03-04,1
A02,2020-03-05,2
A02,2020-03-06,2
A02,2020-03-07,0
A02,2020-03-08,2
A02,2020-03-09,5
A02,2020-03-10,0
A02,2020-03-11,2
A02,2020-03-12,2
A02,2020-03-13,1
A02,2020-03-14,4
A02,2020-03-15,17
A02,2020-03-16,2
A02,2020-03-17,2
A02,2020-03-18,4
A02,2020-03-19,1
A02,2020-03-20,1
A02,2020-03-21,1
A02,2020-03-22,2
A02,2020-03-23,2
A02,2020-03-24,2
A02,2020-03-25,2
A02,2020-03-26,1
A02,2020-03-27,1
A02,2020-03-28,2
A02,2020-03-29,1
A02,2020-03-30,1
A02,2020-03-31,8
A02,2020-04-01,2
A02,2020-04-02,2
A02,2020-04-03,2
A02,2020-04-04,0
A02,2020-04-05,2
A02,2020-04-06,1
A02,2020-04-07,1
A02,2020-04-08,2
A02,2020-04-09,1
A02,2020-04-10,3
A02,2020-04-11,1
A02,2020-04-12,3
A02,2020-04-13,1
A02,2020-04-14,2
A02,2020-04-15,1
A02,2020-04-16,0
A02,2020-04-17,4
A02,2020-04-18,2
A02,2020-04-19,5
A02,2020-04-20,4
A02,2020-04-21,1
A02,2020-04-22,0
A02,2020-04-23,2
A02,2020-04-24,28
A02,2020-04-25,5
A02,2020-04-26,0
A02,2020-04-27,17
A02,2020-04-28,26
A02,2020-04-29,0
A02,2020-04-30,1
A02,2020-05-01,2
A02,2020-05-02,0
A02,2020-05-03,2
A02,2020-05-04,1
A02,2020-05-05,2
A02,2020-05-06,2
A02,2020-05-07,2
A02,2020-05-08,2
A02,2020-05-09,1
A02,2020-05-10,2
A02,2020-05-11,2
A02,2020-05-12,4
A02,2020-05-13,0
A02,2020-05-14,1
A02,2020-05-15,0
A02,2020-05-16,0
A02,2020-05-17,2
A02,2020-05-18,24
A02,2020-05-19,24
A02,2020-05-20,24
A02,2020-05-21,3
A02,2020-05-22,0
A02,2020-05-23,2
A02,2020-05-24,2
A02,2020-05-25,2
A02,2020-05-26,9
A02,2020-05-27,0
A02,2020-05-28,1
A02,2020-05-29,0
A02,2020-05-30,2
A02,2020-05-31,1
A02,2020-06-01,0
A02,2020-06-02,1
A02,2020-06-03,2
A02,2020-06-04,1
A02,2020-06-05,1
A02,2020-06-06,0
A02,2020-06-07,1
A02,2020-06-08,0
A02,2020-06-09,2
A02,2020-06-10,2
A02,2020-06-11,2
A02,2020-06-12,1
A02,2020-06-13,0
A02,2020-06-14,2
A02,2020-06-15,0
A02,2020-06-16,0
A02,2020-06-17,2
A02,2020-06-18,2
A02,2020-06-19,1
A02,2020-06-20,2
A02,2020-06-21,2
A02,2020-06-22,0
A02,2020-06-23,0
A02,2020-06-24,2
A02,2020-06-25,0
A02,2020-06-26,0
A02,2020-06-27,2
A02,2020-06-28,2
A02,2020-06-29,1
A02,2020-06-30,2
A02,2020-07-01,24
A02,2020-07-02,24
A02,2020-07-03,23
A02,2020-07-04,1
A02,2020-07-05,2
A02,2020-07-06,1
A02,2020-07-07,2
A02,2020-07-08,2
A02,2020-07-09,1
A02,2020-07-10,2
A02,2020-07-11,2
A02,2020-07-12,1
A02,2020-07-13,1
A02,2020-07-14,0
A02,2020-07-15,2
A02,2020-07-16,1
A02,2020-07-17,1
A02,2020-07-18,1
A02,2020-07-19,2
A02,2020-07-20,0
A02,2020-07-21,10
A02,2020-07-22,2
A02,2020-07-23,0
A02,2020-07-24,2
A02,2020-07-25,2
A02,2020-07-26,0
A02,2020-07-27,0
A02,2020-07-28,0
A02,2020-07-29,4
A02,2020-07-30,0
A02,2020-07-31,1
A02,2020-08-01,1
A02,2020-08-02,1
A02,2020-08-03,10
A02,2020-08-04,0
A02,2020-08-05,2
A02,2020-08-06,1
A02,2020-08-07,0
A02,2020-08-08,0
A02,2020-08-09,12
A02,2020-08-10,0
A02,2020-08-11,1
A02,2020-08-12,0
A02,2020-08-13,1
A02,2020-08-14,1
A02,2020-08-15,2
A02,2020-08-16,1
A02,2020-08-17,2
A02,2020-08-18,2
A02,2020-08-19,2
A02,2020-08-20,0
A02,2020-08-21,0
A02,2020-08-22,0
A02,2020-08-23,0
A02,2020-08-24,2
A02,2020-08-25,2
A02,2020-08-26,2
A02,2020-08-27,0
A02,2020-08-28,1
A02,2020-08-29,2
A02,2020-08-30,0
A02,2020-08-31,1
A02,2020-09-01,0
A02,2020-09-02,2
A02,2020-09-03,2
A02,2020-09-04,2
A02,2020-09-05,2
A02,2020-09-06,1
A02,2020-09-07,0
A02,2020-09-08,2
A02,2020-09-09,0
A02,2020-09-10,1
A02,2020-09-11,6
A02,2020-09-12,1
A02,2020-09-13,1
A02,2020-09-14,1
A02,2020-09-15,2
A02,2020-09-16,2
A02,2020-09-17,0
A02,2020-09-18,1
A02,2020-09-19,0
A02,2020-09-20,2
A02,2020-09-21,1
A02,2020-09-22,0
A02,2020-09-23,1
A02,2020-09-24,1
A02,2020-09-25,0
A02,2020-09-26,1
A02,2020-09-27,0
A02,2020-09-28,20
A02,2020-09-29,0
A02,2020-09-30,2
A02,2020-10-01,0
A02,2020-10-02,1
A02,2020-10-03,1
A02,2020-10-04,1
A02,2020-10-05,2
A02,2020-10-06,24
A02,2020-10-07,7
A02,2020-10-08,2
A02,2020-10-09,2
A02,2020-10-10,2
A02,2020-10-11,1
A02,2020-10-12,10
A02,2020-10-13,1
A02,2020-10-14,1
A02,2020-10-15,2
A02,2020-10-16,1
A02,2020-10-17,0
A02,2020-10-18,1
A02,2020-10-19,0
A02,2020-10-20,1
A02,2020-10-21,1
A02,2020-10-22,11
A02,2020-10-23,1
A02,2020-10-24,1
A02,2020-10-25,1
A02,2020-10-26,0
A02,2020-10-27,1
A02,2020-10-28,2
A02,2020-10-29,1
A02,2020-10-30,0
A02,2020-10-31,0
A02,2020-11-01,0
A02,2020-11-02,0
A02,2020-11-03,2
A02,2020-11-04,0
A02,2020-11-05,2
A02,2020-11-06,0
A02,2020-11-07,0
A02,2020-11-08,0
A02,2020-11-09,0
A02,2020-11-10,0
A02,2020-11-11,0
A02,2020-11-12,0
A02,2020-11-13,0
A02,2020-11-14,0
A02,2020-11-15,0
A02,2020-11-16,1
A02,2020-11-17,6
A02,2020-11-18,0
A02,2020-11-19,0
A02,2020-11-20,0
A02,2020-11-21,0
A02,2020-11-22,0
A02,2020-11-23,0
A02,2020-11-24,0
A02,2020-11-25,0
A02,2020-11-26,1
A02,2020-11-27,0
A02,2020-11-28,0
A02,2020-11-29,0
A02,2020-11-30,0
A03,2019-07-01,0
A03,2019-07-02,2
A03,2019-07-03,2
A03,2019-07-04,2
A03,2019-07-05,0
A03,2019-07-06,0
A03,2019-07-07,0
A03,2019-07-08,0
A03,2019-07-09,0
A03,2019-07-10,0
A03,2019-07-11,0
A03,2019-07-12,2
A03,2019-07-13,0
A03,2019-07-14,0
A03,2019-07-15,0
A03,2019-07-16,0
A03,2019-07-17,2
A03,2019-07-18,2
A03,2019-07-19,0
A03,2019-07-20,2
A03,2019-07-21,0
A03,2019-07-22,0
A03,2019-07-23,0
A03,2019-07-24,2
A03,2019-07-25,0
A03,2019-07-26,0
A03,2019-07-27,2
A03,2019-07-28,2
A03,2019-07-29,2
A03,2019-07-30,0
A03,2019-07-31,0
A03,2019-08-01,0
A03,2019-08-02,0
A03,2019-08-03,0
A03,2019-08-04,0
A03,2019-08-05,0
A03,2019-08-06,0
A03,2019-08-07,0
A03,2019-08-08,0
A03,2019-08-09,2
A03,2019-08-10,0
A03,2019-08-11,0
A03,2019-08-12,0
A03,2019-08-13,2
A03,2019-08-14,0
A03,2019-08-15,2
A03,2019-08-16,0
A03,2019-08-17,0
A03,2019-08-18,0
A03,2019-08-19,2
A03,2019-08-20,0
A03,2019-08-21,2
A03,2019-08-22,0
A03,2019-08-23,9
A03,2019-08-24,2
A03,2019-08-25,0
A03,2019-08-26,0
A03,2019-08-27,0
A03,2019-08-28,0
A03,2019-08-29,0
A03,2019-08-30,2
A03,2019-08-31,0
A03,2019-09-01,0
A03,2019-09-02,2
A03,2019-09-03,0
A03,2019-09-04,2
A03,2019-09-05,3
A03,2019-09-06,0
A03,2019-09-07,2
A03,2019-09-08,0
A03,2019-09-09,0
A03,2019-09-10,0
A03,2019-09-11,0
A03,2019-09-12,19
A03,2019-09-13,2
A03,2019-09-14,2
A03,2019-09-15,0
A03,2019-09-16,0
A03,2019-09-17,2
A03,2019-09-18,0
A03,2019-09-19,0
A03,2019-09-20,0
A03,2019-09-21,0
A03,2019-09-22,2
A03,2019-09-23,0
A03,2019-09-24,0
A03,2019-09-25,4
A03,2019-09-26,0
A03,2019-09-27,6
A03,2019-09-28,2
A03,2019-09-29,0
A03,2019-09-30,0
A03,2019-10-01,2
A03,2019-10-02,2
A03,2019-10-03,0
A03,2019-10-04,0
A03,2019-10-05,2
A03,2019-10-06,6
A03,2019-10-07,0
A03,2019-10-08,3
A03,2019-10-09,0
A03,2019-10-10,0
A03,2019-10-11,2
A03,2019-10-12,0
A03,2019-10-13,0
A03,2019-10-14,2
A03,2019-10-15,17
A03,2019-10-16,2
A03,2019-10-17,2
A03,2019-10-18,0
A03,2019-10-19,0
A03,2019-10-20,0
A03,2019-10-21,0
A03,2019-10-22,11
A03,2019-10-23,0
A03,2019-10-24,0
A03,2019-10-25,0
A03,2019-10-26,0
A03,2019-10-27,0
A03,2019-10-28,2
A03,2019-10-29,0
A03,2019-10-30,0
A03,2019-10-31,0
A03,2019-11-01,0
A03,2019-11-02,2
A03,2019-11-03,0
A03,2019-11-04,2
A03,2019-11-05,0
A03,2019-11-06,0
A03,2019-11-07,0
A03,2019-11-08,0
A03,2019-11-09,2
A03,2019-11-10,0
A03,2019-11-11,0
A03,2019-11-12,12
A03,2019-11-13,0
A03,2019-11-14,2
A03,2019-11-15,0
A03,2019-11-16,0
A03,2019-11-17,2
A03,2019-11-18,0
A03,2019-11-19,0
A03,2019-11-20,0
A03,2019-11-21,2
A03,2019-11-22,0
A03,2019-11-23,2
A03,2019-11-24,2
A03,2019-11-25,0
A03,2019-11-26,0
A03,2019-11-27,0
A03,2019-11-28,0
A03,2019-11-29,12
A03,2019-11-30,0
A03,2019-12-01,0
A03,2019-12-02,0
A03,2019-12-03,0
A03,2019-12-04,0
A03,2019-12-05,0
A03,2019-12-06,0
A03,2019-12-07,0
A03,2019-12-08,0
A03,2019-12-09,0
A03,2019-12-10,0
A03,2019-12-11,0
A03,2019-12-12,0
A03,2019-12-13,0
A03,2019-12-14,0
A03,2019-12-15,0
A03,2019-12-16,0
A03,2019-12-17,0
A03,2019-12-18,2
A03,2019-12-19,0
A03,2019-12-20,3
A03,2019-12-21,2
A03,2019-12-22,3
A03,2019-12-23,0
A03,2019-12-24,2
A03,2019-12-25,2
A03,2019-12-26,3
A03,2019-12-27,9
A03,2019-12-28,0
A03,2019-12-29,2
A03,2019-12-30,2
A03,2019-12-31,0
A03,2020-01-01,2
A03,2020-01-02,5
A03,2020-01-03,0
A03,2020-01-04,9
A03,2020-01-05,0
A03,2020-01-06,0
A03,2020-01-07,0
A03,2020-01-08,0
A03,2020-01-09,0
A03,2020-01-10,0
A03,2020-01-11,0
A03,2020-01-12,0
A03,2020-01-13,2
A03,2020-01-14,0
A03,2020-01-15,1
A03,2020-01-16,16
A03,2020-01-17,0
A03,2020-01-18,6
A03,2020-01-19,0
A03,2020-01-20,1
A03,2020-01-21,1
A03,2020-01-22,3
A03,2020-01-23,1
A03,2020-01-24,0
A03,2020-01-25,23
A03,2020-01-26,6
A03,2020-01-27,0
A03,2020-01-28,2
A03,2020-01-29,0
A03,2020-01-30,2
A03,2020-01-31,0
A03,2020-02-01,0
A03,2020-02-02,1
A03,2020-02-03,2
A03,2020-02-04,2
A03,2020-02-05,0
A03,2020-02-06,1
A03,2020-02-07,2
A03,2020-02-08,0
A03,2020-02-09,0
A03,2020-02-10,2
A03,2020-02-11,3
A03,2020-02-12,4
A03,2020-02-13,4
A03,2020-02-14,2
A03,2020-02-15,15
A03,2020-02-16,2
A03,2020-02-17,1
A03,2020-02-18,0
A03,2020-02-19,1
A03,2020-02-20,1
A03,2020-02-21,2
A03,2020-02-22,0
A03,2020-02-23,1
A03,2020-02-24,1
A03,2020-02-25,0
A03,2020-02-26,0
A03,2020-02-27,2
A03,2020-02-28,1
A03,2020-02-29,0
A03,2020-03-01,1
A03,2020-03-02,8
A03,2020-03-03,1
A03,2020-03-04,1
